"","x"
"159",682.917861118222
"160",683.680039526605
"161",684.438455470159
"162",685.193127436697
"163",685.944073824315
"164",686.691312941843
"165",687.434863009251
"166",688.174742158102
"167",688.910968431955
"168",689.64355978677
"169",690.372534091381
"170",691.097909127863
"171",691.819702591959
"172",692.537932093528
"173",693.252615156884
"174",693.963769221293
"175",694.671411641315
"176",695.375559687241
"177",696.076230545484
"178",696.773441318984
"179",697.467209027618
"180",698.157550608576
"181",698.844482916793
"182",699.528022725299
"183",700.208186725651
"184",700.884991528278
"185",701.558453662938
"186",702.228589579045
"187",702.895415646072
"188",703.558948153933
"189",704.219203313397
"190",704.876197256401
"191",705.529946036487
"192",706.180465629162
"193",706.827771932259
"194",707.471880766309
"195",708.112807874945
"196",708.750568925225
"197",709.385179508038
"198",710.016655138438
"199",710.64501125603
"200",711.270263225341
"201",711.892426336125
"202",712.51151580381
"203",713.127546769771
"204",713.740534301729
"205",714.350493394105
"206",714.95743896836
"207",715.561385873333
"208",716.162348885629
"209",716.760342709934
"210",717.355381979355
"211",717.9474812558
"212",718.536655030281
"213",719.122917723281
"214",719.706283685072
"215",720.286767196062
"216",720.864382467155
"217",721.439143640042
"218",722.011064787543
"219",722.580159913966
"220",723.146442955428
"221",723.70992778015
"222",724.270628188809
"223",724.82855791487
"224",725.383730624906
"225",725.936159918895
"226",726.485859330564
"227",727.0328423277
"228",727.577122312487
"229",728.118712621774
"230",728.657626527435
"231",729.193877236673
"232",729.72747789229
"233",730.258441573076
"234",730.786781294022
"235",731.312510006715
"236",731.835640599586
"237",732.35618589822
"238",732.874158665689
"239",733.389571602839
"240",733.902437348552
"241",734.412768480102
"242",734.92057751342
"243",735.425876903394
"244",735.928679044158
"245",736.428996269398
"246",736.926840852634
"247",737.422225007515
"248",737.915160888074
"249",738.405660589084
"250",738.893736146284
"251",739.379399536685
"252",739.862662678842
"253",740.343537433163
"254",740.822035602145
"255",741.298168930701
"256",741.77194910641
"257",742.243387759779
"258",742.712496464555
"259",743.179286737981
"260",743.643770041062
"261",744.105957778837
"262",744.565861300644
"263",745.023491900429
"264",745.478860816966
"265",745.931979234108
"266",746.382858281129
"267",746.831509032924
"268",747.277942510272
"269",747.722169680125
"270",748.164201455859
"271",748.604048697512
"272",749.041722212089
"273",749.477232753734
"274",749.910591024088
"275",750.341807672479
"276",750.770893296156
"277",751.197858440601
"278",751.622713599752
"279",752.045469216228
"280",752.466135681603
"281",752.884723336657
"282",753.30124247159
"283",753.715703326316
"284",754.128116090645
"285",754.538490904567
"286",754.946837858496
"287",755.353166993471
"288",755.757488301428
"289",756.159811725438
"290",756.56014715991
"291",756.958504450868
"292",757.354893396159
"293",757.749323745676
"294",758.141805201622
"295",758.532347418718
"296",758.92096000443
"297",759.30765251922
"298",759.692434476752
"299",760.075315344109
"300",760.456304542057
"301",760.835411445223
"302",761.212645382338
"303",761.588015636498
"304",761.961531445305
"305",762.333202001132
"306",762.703036451369
"307",763.071043898573
"308",763.43723340075
"309",763.801613971521
"310",764.164194580365
"311",764.524984152835
"312",764.883991570743
"313",765.241225672397
"314",765.596695252803
"315",765.950409063871
"316",766.302375814629
"317",766.652604171434
"318",767.001102758161
"319",767.347880156424
"320",767.692944905783
"321",768.036305503934
"322",768.377970406917
"323",768.717948029323
"324",769.056246744487
"325",769.392874884704
"326",769.727840741395
"327",770.061152565334
"328",770.392818566843
"329",770.72284691597
"330",771.051245742686
"331",771.378023137119
"332",771.70318714967
"333",772.026745791295
"334",772.348707033607
"335",772.669078809157
"336",772.987869011543
"337",773.305085495644
"338",773.620736077798
"339",773.934828535983
"340",774.247370610008
"341",774.5583700017
"342",774.867834375081
"343",775.175771356545
"344",775.482188535074
"345",775.787093462378
"346",776.090493653088
"347",776.392396584955
"348",776.692809699003
"349",776.991740399725
"350",777.289196055262
"351",777.585183997544
